x,timestamps
259,1762472464.1889238
260,1762472464.1889238
261,1762472464.1889238
262,1762472464.1889238
263,1762472464.1889238
264,1762472464.1889238
265,1762472464.1889238
266,1762472464.1889238
267,1762472464.1889238
268,1762472464.1889238
269,1762472464.1889238
270,1762472464.1889238
271,1762472464.1889238
272,1762472464.1889238
273,1762472464.1889238
274,1762472464.1889238
275,1762472464.1889238
276,1762472464.1889238
277,1762472465.028815
278,1762472465.028815
279,1762472465.028815
280,1762472465.028815
281,1762472465.0388107
282,1762472465.0388107
283,1762472465.0388107
284,1762472465.048811
285,1762472465.048811
286,1762472465.048811
287,1762472465.048811
288,1762472465.0688183
289,1762472465.0688183
290,1762472465.0688183
291,1762472465.0688183
292,1762472465.0788302
293,1762472465.0788302
294,1762472465.0788302
295,1762472465.0788302
296,1762472465.0788302
297,1762472465.0788302
298,1762472465.0788302
299,1762472465.0788302
300,1762472465.0788302
301,1762472465.0788302
302,1762472465.0788302
303,1762472465.0788302
304,1762472465.0788302
305,1762472465.0788302
306,1762472465.0788302
307,1762472465.0788302
308,1762472465.0788302
309,1762472465.0788302
310,1762472465.0788302
311,1762472465.0788302
312,1762472465.0788302
313,1762472465.0788302
314,1762472465.0788302
315,1762472465.0788302
316,1762472465.0788302
317,1762472465.0788302
318,1762472465.0788302
319,1762472465.0788302
320,1762472465.0788302
321,1762472465.0788302
322,1762472465.0788302
323,1762472465.0788302
324,1762472465.0788302
325,1762472465.0788302
326,1762472465.0788302
327,1762472465.0788302
328,1762472465.0788302
329,1762472465.0788302
330,1762472465.0788302
331,1762472465.0788302
332,1762472465.0788302
333,1762472465.0788302
334,1762472465.0788302
335,1762472465.0788302
336,1762472465.0788302
337,1762472465.0788302
338,1762472465.0788302
339,1762472465.0788302
340,1762472465.0788302
341,1762472465.0788302
342,1762472465.0788302
343,1762472465.0788302
344,1762472465.0788302
345,1762472465.0788302
346,1762472465.0788302
347,1762472465.0788302
348,1762472465.0788302
349,1762472465.0788302
350,1762472465.0788302
351,1762472465.0788302
352,1762472465.0788302
353,1762472465.0788302
354,1762472465.0788302
355,1762472465.0788302
356,1762472465.0788302
357,1762472465.0788302
358,1762472465.0788302
359,1762472465.0788302
360,1762472465.0788302
361,1762472465.0788302
362,1762472465.0788302
363,1762472465.0788302
364,1762472465.0788302
365,1762472465.0788302
366,1762472465.0788302
367,1762472465.0788302
368,1762472465.0788302
369,1762472465.0788302
370,1762472465.0788302
371,1762472465.0788302
372,1762472465.0788302
373,1762472465.0788302
374,1762472465.0788302
375,1762472465.0788302
376,1762472465.0788302
377,1762472465.0788302
378,1762472465.0788302
379,1762472465.0788302
380,1762472465.0788302
381,1762472465.0788302
382,1762472465.0788302
383,1762472465.0788302
384,1762472465.0788302
385,1762472465.0788302
386,1762472465.0788302
387,1762472465.0788302
388,1762472465.0788302
389,1762472465.0788302
390,1762472465.0788302
391,1762472465.0788302
392,1762472465.0788302
393,1762472465.0788302
394,1762472465.0788302
395,1762472465.0788302
396,1762472465.0788302
397,1762472465.0788302
398,1762472465.0788302
399,1762472465.0788302
400,1762472465.0788302
401,1762472465.0788302
402,1762472465.0788302
403,1762472465.0788302
404,1762472465.0788302
405,1762472465.0788302
406,1762472465.0788302
407,1762472465.0788302
408,1762472465.0788302
409,1762472465.0788302
410,1762472465.0788302
411,1762472465.0788302
412,1762472465.0788302
413,1762472465.0788302
414,1762472465.0788302
415,1762472465.0788302
416,1762472465.0788302
417,1762472465.0788302
418,1762472465.0788302
419,1762472465.0788302
420,1762472465.0788302
421,1762472465.0788302
422,1762472465.0788302
423,1762472465.0788302
424,1762472465.0788302
425,1762472465.0788302
426,1762472465.0788302
427,1762472465.0788302
428,1762472465.0788302
429,1762472465.0788302
430,1762472465.0788302
431,1762472465.0788302
432,1762472465.0788302
433,1762472465.0788302
434,1762472465.0788302
435,1762472465.0788302
436,1762472465.0788302
437,1762472465.0788302
438,1762472465.0788302
439,1762472465.0788302
440,1762472465.0788302
441,1762472465.0788302
442,1762472465.0788302
443,1762472465.0788302
444,1762472465.0788302
445,1762472465.0788302
446,1762472465.0788302
447,1762472465.0788302
448,1762472465.0788302
449,1762472465.0788302
450,1762472465.0788302
451,1762472465.0788302
452,1762472465.0788302
453,1762472465.0788302
454,1762472465.0788302
455,1762472465.0788302
456,1762472465.0788302
457,1762472465.0788302
458,1762472465.0788302
459,1762472465.0788302
460,1762472465.0788302
461,1762472465.0788302
462,1762472465.0788302
463,1762472465.0788302
464,1762472465.0788302
465,1762472465.0788302
466,1762472465.0788302
467,1762472465.0788302
468,1762472465.0788302
469,1762472465.0788302
470,1762472465.0788302
471,1762472465.0788302
472,1762472465.0788302
473,1762472465.0788302
474,1762472465.0788302
475,1762472465.0788302
476,1762472465.0788302
477,1762472465.0788302
478,1762472465.0788302
479,1762472465.0788302
480,1762472465.0788302
481,1762472465.0788302
482,1762472465.0788302
483,1762472465.0788302
484,1762472465.0788302
485,1762472465.0788302
486,1762472465.0788302
487,1762472465.0788302
488,1762472465.0788302
489,1762472465.0788302
490,1762472465.0788302
491,1762472465.0788302
492,1762472465.0788302
493,1762472465.0788302
494,1762472465.0788302
495,1762472465.0788302
496,1762472465.0788302
497,1762472465.0788302
498,1762472465.0788302
499,1762472465.0788302
500,1762472465.0788302
501,1762472465.0788302
502,1762472465.0788302
503,1762472465.0788302
504,1762472465.0788302
505,1762472465.0788302
506,1762472465.0788302
507,1762472465.0788302
508,1762472465.0788302
509,1762472465.0788302
510,1762472465.0788302
511,1762472465.0788302
512,1762472465.0788302
513,1762472465.0788302
514,1762472465.0788302
515,1762472465.0788302
516,1762472465.0788302
517,1762472465.0788302
518,1762472465.0788302
519,1762472465.0788302
520,1762472465.0788302
521,1762472465.0788302
522,1762472465.0788302
523,1762472465.0788302
524,1762472465.0788302
525,1762472465.0788302
526,1762472465.0788302
527,1762472465.0788302
528,1762472465.0788302
529,1762472465.0788302
530,1762472465.0788302
531,1762472465.0788302
532,1762472465.0788302
533,1762472465.0788302
534,1762472465.0788302
535,1762472465.0788302
536,1762472465.0788302
537,1762472465.0788302
538,1762472465.0788302
539,1762472465.0788302
540,1762472465.0788302
541,1762472465.0788302
542,1762472465.0788302
543,1762472465.0788302
544,1762472465.0788302
545,1762472465.0788302
546,1762472465.0788302
547,1762472465.0788302
548,1762472465.0788302
549,1762472465.0788302
550,1762472465.0788302
551,1762472465.0788302
552,1762472465.0788302
553,1762472465.0788302
554,1762472465.0788302
555,1762472465.0788302
556,1762472465.0788302
557,1762472465.0788302
558,1762472465.0788302
559,1762472465.0788302
560,1762472465.0788302
561,1762472465.0788302
562,1762472465.0788302
563,1762472465.0788302
564,1762472465.0788302
565,1762472465.0788302
566,1762472465.0788302
567,1762472465.0788302
568,1762472465.0788302
569,1762472465.0788302
570,1762472465.0788302
571,1762472465.0788302
572,1762472465.0788302
573,1762472465.0788302
574,1762472465.0788302
575,1762472465.0788302
576,1762472465.0788302
577,1762472465.0788302
578,1762472465.0788302
579,1762472465.0788302
580,1762472465.0788302
581,1762472465.0788302
582,1762472465.0788302
583,1762472465.0788302
584,1762472465.0788302
585,1762472465.0788302
586,1762472465.0788302
587,1762472465.0788302
588,1762472465.0788302
589,1762472465.0788302
590,1762472465.0788302
591,1762472465.0788302
592,1762472465.0788302
593,1762472465.0788302
594,1762472465.0788302
595,1762472465.0788302
596,1762472465.0788302
597,1762472465.0788302
598,1762472465.0788302
599,1762472465.0788302
600,1762472465.0788302
601,1762472465.0788302
602,1762472465.0788302
603,1762472465.0788302
604,1762472465.0788302
605,1762472465.0788302
606,1762472465.0788302
607,1762472465.0788302
608,1762472465.0788302
609,1762472465.0788302
610,1762472465.0788302
611,1762472465.0788302
612,1762472465.0788302
613,1762472465.0788302
614,1762472465.0788302
615,1762472465.0788302
616,1762472465.0788302
617,1762472465.0788302
618,1762472465.0788302
619,1762472465.0788302
620,1762472465.0788302
621,1762472465.0788302
622,1762472465.0788302
623,1762472465.0788302
624,1762472465.0788302
625,1762472465.0788302
626,1762472465.0788302
627,1762472465.0788302
628,1762472465.0788302
629,1762472465.0788302
630,1762472465.0788302
631,1762472465.0788302
632,1762472465.0788302
633,1762472465.0788302
634,1762472465.0788302
635,1762472465.0788302
636,1762472465.0788302
637,1762472465.0788302
638,1762472465.0788302
639,1762472465.0788302
640,1762472465.0788302
641,1762472465.0788302
642,1762472465.0788302
643,1762472465.0788302
644,1762472465.0788302
645,1762472465.0788302
646,1762472465.0788302
647,1762472465.0788302
648,1762472465.0788302
649,1762472465.0788302
650,1762472465.0788302
651,1762472465.0788302
652,1762472465.0788302
653,1762472465.0788302
654,1762472465.0788302
655,1762472465.0788302
656,1762472465.0788302
657,1762472465.0788302
658,1762472465.0788302
659,1762472465.0788302
660,1762472465.0788302
661,1762472465.0788302
662,1762472465.0788302
663,1762472465.0788302
664,1762472465.0788302
665,1762472465.0788302
666,1762472465.0788302
667,1762472465.0788302
668,1762472465.0788302
669,1762472465.0788302
670,1762472465.0788302
671,1762472465.0788302
672,1762472465.0788302
673,1762472465.0788302
674,1762472465.0788302
675,1762472465.0788302
676,1762472465.0788302
677,1762472465.0788302
