frame_index,timestamp_sec
0,1767060876.574688
1,1767060876.574688
2,1767060876.6413627
3,1767060876.674699
4,1767060876.7080364
5,1767060876.7413735
6,1767060876.77471
7,1767060876.8080473
8,1767060876.8747222
9,1767060876.9080584
10,1767060876.9413958
11,1767060876.9413958
12,1767060877.0080705
13,1767060877.0414069
14,1767060877.0747445
15,1767060877.108082
16,1767060877.1414185
17,1767060877.1747558
18,1767060877.2080932
19,1767060877.2414308
20,1767060877.2747674
21,1767060877.3081048
22,1767060877.341442
23,1767060877.3747797
24,1767060877.408116
25,1767060877.441454
26,1767060877.4747913
27,1767060877.508128
28,1767060877.508128
29,1767060877.574804
30,1767060877.608142
31,1767060877.641479
32,1767060877.641479
33,1767060877.7081552
34,1767060877.7414935
35,1767060877.7748306
36,1767060877.8081686
37,1767060877.8415067
38,1767060877.8415067
39,1767060877.9415202
40,1767060877.9748588
41,1767060878.0081959
42,1767060878.041534
43,1767060878.0748723
44,1767060878.0748723
45,1767060878.141548
46,1767060878.1748862
47,1767060878.1748862
48,1767060878.2749002
49,1767060878.2749002
50,1767060878.3415768
51,1767060878.3415768
52,1767060878.441591
53,1767060878.441591
54,1767060878.508267
55,1767060878.508267
56,1767060878.5749366
57,1767060878.5749366
58,1767060878.6749392
59,1767060878.708274
60,1767060878.7416077
61,1767060878.7416077
62,1767060878.8082767
63,1767060878.8082767
64,1767060878.9082797
65,1767060878.9082797
66,1767060878.9749475
67,1767060879.0416167
68,1767060879.1082847
69,1767060879.1416192
70,1767060879.1416192
71,1767060879.208287
72,1767060879.2416215
73,1767060879.2416215
74,1767060879.4416263
75,1767060879.4416263
76,1767060879.6082995
77,1767060879.6749694
78,1767060879.7083032
79,1767060879.774973
80,1767060879.808307
81,1767060879.808307
82,1767060879.8749766
83,1767060879.9083114
84,1767060879.9083114
85,1767060880.0083146
86,1767060880.0416493
87,1767060880.0416493
88,1767060880.108318
89,1767060880.108318
90,1767060880.108318
91,1767060880.3083246
92,1767060880.341659
93,1767060880.3749938
94,1767060880.4083285
95,1767060880.4416623
96,1767060880.4416623
97,1767060880.5083346
98,1767060880.5083346
99,1767060880.7416763
100,1767060880.7750103
101,1767060880.7750103
102,1767060880.8750143
103,1767060880.908348
104,1767060880.908348
105,1767060880.9750175
106,1767060880.9750175
107,1767060881.041686
108,1767060881.041686
109,1767060881.175024
110,1767060881.175024
111,1767060881.2416933
112,1767060881.2416933
113,1767060881.3083615
114,1767060881.3083615
115,1767060881.375031
116,1767060881.4416993
117,1767060881.4416993
118,1767060881.5417035
