frame_idx,timestamp,relative_time
0,1763403300.788176,0.0
1,1763403300.8215342,0.033358097076416016
2,1763403300.8882506,0.10007452964782715
3,1763403300.9216084,0.13343238830566406
4,1763403300.9549665,0.16679048538208008
5,1763403301.021683,0.2335069179534912
6,1763403301.055041,0.2668650150299072
7,1763403301.0883992,0.30022311210632324
8,1763403301.1217573,0.33358120918273926
9,1763403301.1551154,0.3669393062591553
10,1763403301.2218306,0.4336545467376709
11,1763403301.2551877,0.4670116901397705
12,1763403301.2885447,0.500368595123291
13,1763403301.3219018,0.5337257385253906
14,1763403301.3219018,0.5337257385253906
15,1763403301.388616,0.6004400253295898
16,1763403301.421973,0.6337969303131104
17,1763403301.4553301,0.66715407371521
18,1763403301.488687,0.7005109786987305
19,1763403301.588758,0.8005819320678711
20,1763403301.6221151,0.8339390754699707
21,1763403301.6554723,0.8672962188720703
22,1763403301.6888294,0.9006533622741699
23,1763403301.7221863,0.9340102672576904
24,1763403301.7555432,0.9673671722412109
25,1763403301.7889004,1.0007243156433105
26,1763403301.8222573,1.034081220626831
27,1763403301.8556142,1.0674381256103516
28,1763403301.9223285,1.1341524124145508
29,1763403301.9556854,1.1675093173980713
30,1763403301.9890423,1.2008662223815918
31,1763403302.0223994,1.2342233657836914
32,1763403302.0557563,1.267580270767212
33,1763403302.0891132,1.3009371757507324
34,1763403302.1224701,1.334294080734253
35,1763403302.1558273,1.3676512241363525
36,1763403302.1891844,1.4010083675384521
37,1763403302.2225423,1.434366226196289
38,1763403302.2559004,1.467724323272705
39,1763403302.2892582,1.501082181930542
40,1763403302.322616,1.534440040588379
41,1763403302.3559744,1.567798376083374
42,1763403302.3893323,1.601156234741211
43,1763403302.4560483,1.6678721904754639
44,1763403302.4894066,1.701230525970459
45,1763403302.4894066,1.701230525970459
46,1763403302.5561225,1.767946481704712
47,1763403302.5894806,1.801304578781128
48,1763403302.6561968,1.86802077293396
49,1763403302.6895547,1.9013786315917969
50,1763403302.7229128,1.934736728668213
51,1763403302.756271,1.968094825744629
52,1763403302.789629,2.001452922821045
53,1763403302.789629,2.001452922821045
54,1763403302.8563452,2.068169116973877
55,1763403302.8897033,2.101527214050293
56,1763403302.9230614,2.134885311126709
57,1763403302.9564195,2.168243408203125
58,1763403302.9897776,2.201601505279541
59,1763403303.0231357,2.234959602355957
60,1763403303.0564938,2.268317699432373
61,1763403303.0898519,2.301675796508789
62,1763403303.12321,2.335033893585205
63,1763403303.156568,2.368391990661621
64,1763403303.1899264,2.401750326156616
65,1763403303.2232828,2.4351067543029785
66,1763403303.2899954,2.501819372177124
67,1763403303.3233519,2.5351758003234863
68,1763403303.3567083,2.5685322284698486
69,1763403303.3900645,2.601888418197632
70,1763403303.423421,2.635244846343994
71,1763403303.456777,2.6686010360717773
72,1763403303.4901335,2.7019574642181396
73,1763403303.52349,2.735313892364502
74,1763403303.5902026,2.8020265102386475
75,1763403303.5902026,2.8020265102386475
76,1763403303.723628,2.9354519844055176
77,1763403303.7569842,2.968808174133301
78,1763403303.7903404,3.002164363861084
79,1763403303.8236969,3.0355207920074463
80,1763403303.857053,3.0688769817352295
81,1763403303.8904092,3.1022331714630127
82,1763403303.8904092,3.1022331714630127
83,1763403303.9571218,3.168945789337158
84,1763403303.990478,3.2023019790649414
